Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Mon Feb 02 00:00:00 CST 2015,40,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0
Mon Feb 09 00:00:00 CST 2015,53,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,2,0,0,0,0
Mon Feb 16 00:00:00 CST 2015,9,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Mon Feb 23 00:00:00 CST 2015,55,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mon Mar 02 00:00:00 CST 2015,50,0,10,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
Mon Mar 09 00:00:00 CST 2015,65,2,10,0,0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0
Mon Mar 16 00:00:00 CST 2015,68,1,7,0,0,25,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,14,0,0,0,0
Mon Mar 23 00:00:00 CST 2015,59,5,16,0,0,15,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0
Mon Mar 30 00:00:00 CST 2015,77,2,17,0,0,40,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0
Mon Apr 06 00:00:00 CST 2015,58,0,16,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0
